team_spread,q1_trail_big,q2_trail,q3_lead,q4_lead_big,eff_n
-4,0.2879426153478372,0.2837518267556205,0.2582975246727839,0.17000803322375838,3263.963917805755
-3.5,0.27927805871133377,0.28198144161010624,0.2619005147144032,0.1768399849641567,3178.7243511108186
-3,0.27233802858727585,0.2800456808355836,0.26466825278503053,0.18294803779211002,3121.2188268040286
-2.5,0.2663533621617606,0.2779268327689622,0.2670095838629629,0.18871022120631425,3087.569661174694
-2,0.2606508066828836,0.275471111786443,0.2693140264792778,0.19456405505139557,3044.2989150294243
-1.5,0.25465191505854146,0.2723988295326739,0.27195352049158683,0.20099573491719788,2968.727557699651
-1,0.24783181661780995,0.26835107632583916,0.275299575308357,0.20851753174799384,2887.8742447478385
-0.5,0.2398268304274861,0.26309953069070696,0.27962888001075387,0.21744475887105302,2851.480880649357
0,0.23079204458159186,0.256950195205447,0.2848364050090822,0.22742135520387896,2849.7366110560633
0.5,0.2215780826521794,0.2508434450795904,0.2902741555507847,0.23730431671744545,2850.2373512278264
1,0.21314080636739124,0.24567482979328084,0.29518393924760555,0.24600042459172233,2887.603988348676
1.5,0.20584346369580034,0.24166290386180142,0.2992455981397984,0.25324803430259984,2970.4415655729313
2,0.1994924675719897,0.23850126741980526,0.30256586507947314,0.2594403999287318,3047.2923546023153
2.5,0.1936922361206868,0.23574342257866657,0.3053942490221003,0.2651700922785463,3090.8164757439545
3,0.1880280420915424,0.2329597683729763,0.3079528693619853,0.2710593201734961,3124.621600497815
3.5,0.1820961156549283,0.22973928363451682,0.31038503662092704,0.27777956408962784,3183.3857192666096
4,0.17552598265346883,0.22569575622359286,0.31273259815248444,0.2860456629704538,3271.5507131944473
4.5,0.1680888078058892,0.2205756325570021,0.31490941959214486,0.2964261400449639,3329.457094165916
5,0.15989763827172276,0.2144767484980775,0.3167033566615248,0.30892225656867484,3235.7150553793845
5.5,0.15152654836907553,0.2079953459083606,0.3178685384207268,0.32260956730183704,2937.0213126086774
6,0.1437838935934536,0.20200730178280227,0.318286321754837,0.33592248286890714,2555.01900616205
6.5,0.13722850787139879,0.1971628430394291,0.3180406638182202,0.3475679852709519,2236.0904489396007
7,0.13190012362179424,0.19360473022526925,0.3173354091916906,0.3571597369612458,2026.9965255820457
