season,game_id,posteam,team_spread,n_plays,positive,neutral,negative
2006,2006_04_DAL_TEN,TEN,-10,58,0,0.41379310344827586,0.5862068965517241
2006,2006_04_DET_STL,DET,-5.5,66,0,0.8333333333333334,0.16666666666666666
2006,2006_04_DET_STL,LA,-5.5,67,0.08955223880597014,0.9104477611940298,0
2006,2006_04_GB_PHI,GB,-12,75,0,0.6133333333333333,0.38666666666666666
2006,2006_04_GB_PHI,PHI,12,63,0.2222222222222222,0.7777777777777778,0
2006,2006_04_IND_NYJ,IND,7.5,68,0.058823529411764705,0.9411764705882353,0
2006,2006_04_IND_NYJ,NYJ,-7.5,63,0,0.9206349206349206,0.07936507936507936
2006,2006_04_JAX_WAS,JAX,2.5,53,0,0.8867924528301887,0.11320754716981132
2006,2006_04_JAX_WAS,WAS,-2.5,67,0.1044776119402985,0.8955223880597015,0
2006,2006_04_MIA_HOU,HOU,-3.5,67,0.22388059701492538,0.7761194029850746,0
2006,2006_04_MIA_HOU,MIA,3.5,57,0,0.6491228070175439,0.3508771929824561
2006,2006_04_MIN_BUF,BUF,1,68,0.47058823529411764,0.5294117647058824,0
2006,2006_04_MIN_BUF,MIN,-1,58,0,0.5172413793103449,0.4827586206896552
2006,2006_04_NE_CIN,CIN,5.5,56,0,0.6607142857142857,0.3392857142857143
2006,2006_04_NE_CIN,NE,-5.5,66,0.5,0.5,0
2006,2006_04_NO_CAR,CAR,7,56,0.19642857142857142,0.8035714285714286,0
2006,2006_04_NO_CAR,NO,-7,61,0,0.9344262295081968,0.06557377049180328
2006,2006_04_SD_BAL,BAL,1,52,0,0.7692307692307693,0.23076923076923078
2006,2006_04_SD_BAL,LAC,-1,65,0.2923076923076923,0.6307692307692307,0.07692307692307693
2006,2006_04_SEA_CHI,CHI,3.5,70,0.7714285714285715,0.22857142857142856,0
2006,2006_04_SEA_CHI,SEA,-3.5,61,0,0.2786885245901639,0.7213114754098361
2006,2006_04_SF_KC,KC,7,60,0.8333333333333334,0.16666666666666666,0
2006,2006_04_SF_KC,SF,-7,50,0,0.08,0.92
2006,2006_05_BAL_DEN,BAL,-5.5,61,0,0.9180327868852459,0.08196721311475409
2006,2006_05_BAL_DEN,DEN,5.5,52,0.15384615384615385,0.8461538461538461,0
2006,2006_05_BUF_CHI,BUF,-9.5,48,0,0.25,0.75
2006,2006_05_BUF_CHI,CHI,9.5,70,0.8714285714285714,0.12857142857142856,0
2006,2006_05_CLE_CAR,CAR,7.5,57,0.631578947368421,0.3684210526315789,0
2006,2006_05_CLE_CAR,CLE,-7.5,67,0,0.3283582089552239,0.6716417910447762
2006,2006_05_DAL_PHI,DAL,1,84,0,0.7738095238095238,0.2261904761904762
2006,2006_05_DAL_PHI,PHI,-1,54,0.14814814814814814,0.8518518518518519,0
2006,2006_05_DET_MIN,DET,-4,58,0.1206896551724138,0.7586206896551724,0.1206896551724138
2006,2006_05_DET_MIN,MIN,4,63,0.09523809523809523,0.746031746031746,0.15873015873015872
2006,2006_05_KC_ARI,ARI,-3.5,62,0.6129032258064516,0.2903225806451613,0.0967741935483871
2006,2006_05_KC_ARI,KC,3.5,62,0.03225806451612903,0.3064516129032258,0.6612903225806451
2006,2006_05_MIA_NE,MIA,-9.5,63,0,0.7301587301587301,0.2698412698412698
2006,2006_05_MIA_NE,NE,9.5,60,0.5,0.5,0
2006,2006_05_NYJ_JAX,JAX,7,58,0.9310344827586207,0.06896551724137931,0
2006,2006_05_NYJ_JAX,NYJ,-7,58,0,0.08620689655172414,0.9137931034482759
2006,2006_05_OAK_SF,LV,-3,56,0,0.6071428571428571,0.39285714285714285
2006,2006_05_OAK_SF,SF,3,60,0.26666666666666666,0.7333333333333333,0
2006,2006_05_PIT_SD,LAC,-3.5,72,0.2916666666666667,0.6527777777777778,0.05555555555555555
2006,2006_05_PIT_SD,PIT,-3.5,53,0.03773584905660377,0.7735849056603774,0.18867924528301888
2006,2006_05_STL_GB,GB,-2.5,65,0,0.8769230769230769,0.12307692307692308
2006,2006_05_STL_GB,LA,2.5,59,0.3220338983050847,0.6779661016949152,0
2006,2006_05_TB_NO,NO,7,58,0.1206896551724138,0.8793103448275862,0
2006,2006_05_TB_NO,TB,-7,65,0.03076923076923077,0.8923076923076924,0.07692307692307693
2006,2006_05_TEN_IND,IND,13.5,65,0.046153846153846156,0.6461538461538462,0.3076923076923077
2006,2006_05_TEN_IND,TEN,-13.5,52,0.46153846153846156,0.5384615384615384,0
2006,2006_05_WAS_NYG,NYG,6,66,0.5909090909090909,0.4090909090909091,0
2006,2006_05_WAS_NYG,WAS,-6,45,0,0.5333333333333333,0.4666666666666667
2006,2006_06_BUF_DET,BUF,1,60,0,0.6166666666666667,0.38333333333333336
2006,2006_06_BUF_DET,DET,-1,66,0.4393939393939394,0.5606060606060606,0
2006,2006_06_CAR_BAL,BAL,3,60,0,0.7833333333333333,0.21666666666666667
2006,2006_06_CAR_BAL,CAR,-3,68,0.35294117647058826,0.6470588235294118,0
2006,2006_06_CHI_ARI,ARI,-11.5,81,0.7530864197530864,0.24691358024691357,0
2006,2006_06_CHI_ARI,CHI,11.5,52,0,0.09615384615384616,0.9038461538461539
2006,2006_06_CIN_TB,CIN,4.5,59,0.2711864406779661,0.711864406779661,0.01694915254237288
2006,2006_06_CIN_TB,TB,-4.5,71,0,0.8450704225352113,0.15492957746478872
2006,2006_06_HOU_DAL,DAL,13,69,0.4057971014492754,0.5942028985507246,0
2006,2006_06_HOU_DAL,HOU,-13,55,0,0.6909090909090909,0.3090909090909091
2006,2006_06_KC_PIT,KC,-6.5,59,0,0.2033898305084746,0.7966101694915254
2006,2006_06_KC_PIT,PIT,6.5,61,0.8360655737704918,0.16393442622950818,0
2006,2006_06_MIA_NYJ,MIA,-2,71,0,0.5915492957746479,0.4084507042253521
2006,2006_06_MIA_NYJ,NYJ,2,57,0.3684210526315789,0.631578947368421,0
2006,2006_06_NYG_ATL,ATL,3,60,0,0.6666666666666666,0.3333333333333333
2006,2006_06_NYG_ATL,NYG,-3,70,0.22857142857142856,0.6428571428571429,0.12857142857142856
2006,2006_06_OAK_DEN,DEN,14,49,0.7551020408163265,0.24489795918367346,0
2006,2006_06_OAK_DEN,LV,-14,60,0,0.25,0.75
2006,2006_06_PHI_NO,NO,-3,65,0.4307692307692308,0.49230769230769234,0.07692307692307693
2006,2006_06_PHI_NO,PHI,3,54,0,0.4074074074074074,0.5925925925925926
2006,2006_06_SD_SF,LAC,9.5,68,0.6764705882352942,0.3235294117647059,0
2006,2006_06_SD_SF,SF,-9.5,50,0,0.28,0.72
2006,2006_06_SEA_STL,LA,3,66,0.4090909090909091,0.4090909090909091,0.18181818181818182
2006,2006_06_SEA_STL,SEA,3,65,0.15384615384615385,0.4,0.4461538461538462
2006,2006_06_TEN_WAS,TEN,-11.5,68,0.17647058823529413,0.6470588235294118,0.17647058823529413
2006,2006_06_TEN_WAS,WAS,11.5,56,0.125,0.6785714285714286,0.19642857142857142
2006,2006_07_ARI_OAK,ARI,3,55,0,0.12727272727272726,0.8727272727272727
2006,2006_07_ARI_OAK,LV,3,77,0.7662337662337663,0.23376623376623376,0
2006,2006_07_CAR_CIN,CAR,-3,53,0.018867924528301886,0.9622641509433962,0.018867924528301886
2006,2006_07_CAR_CIN,CIN,3,71,0.15492957746478872,0.8450704225352113,0
2006,2006_07_DEN_CLE,CLE,-4.5,51,0,0.39215686274509803,0.6078431372549019
2006,2006_07_DEN_CLE,DEN,4.5,79,0.5316455696202531,0.46835443037974683,0
2006,2006_07_DET_NYJ,DET,-4,59,0,0.0847457627118644,0.9152542372881356
2006,2006_07_DET_NYJ,NYJ,4,63,0.873015873015873,0.12698412698412698,0
2006,2006_07_GB_MIA,GB,-6,66,0.18181818181818182,0.7121212121212122,0.10606060606060606
2006,2006_07_GB_MIA,MIA,6,82,0.14634146341463414,0.5,0.35365853658536583
2006,2006_07_JAX_HOU,HOU,-7.5,67,0.43283582089552236,0.5671641791044776,0
2006,2006_07_JAX_HOU,JAX,7.5,54,0,0.6111111111111112,0.3888888888888889
2006,2006_07_MIN_SEA,MIN,-6,57,0.24561403508771928,0.7017543859649122,0.05263157894736842
2006,2006_07_MIN_SEA,SEA,6,67,0.07462686567164178,0.44776119402985076,0.47761194029850745
2006,2006_07_NE_BUF,BUF,-5.5,52,0,0.3076923076923077,0.6923076923076923
2006,2006_07_NE_BUF,NE,5.5,57,0.6842105263157895,0.3157894736842105,0
2006,2006_07_NYG_DAL,DAL,3,64,0,0.34375,0.65625
2006,2006_07_NYG_DAL,NYG,-3,66,0.5909090909090909,0.4090909090909091,0
2006,2006_07_PHI_TB,PHI,6,62,0,0.4032258064516129,0.5967741935483871
2006,2006_07_PHI_TB,TB,-6,58,0.7241379310344828,0.27586206896551724,0
2006,2006_07_PIT_ATL,ATL,-2.5,60,0.21666666666666667,0.7333333333333333,0.05
2006,2006_07_PIT_ATL,PIT,2.5,62,0.04838709677419355,0.8709677419354839,0.08064516129032258
2006,2006_07_SD_KC,KC,-6,59,0.6610169491525424,0.3389830508474576,0
2006,2006_07_SD_KC,LAC,6,70,0,0.3,0.7
2006,2006_07_WAS_IND,IND,8,58,0.3793103448275862,0.6206896551724138,0
2006,2006_07_WAS_IND,WAS,-8,63,0,0.4603174603174603,0.5396825396825397
2006,2006_08_ARI_GB,ARI,-4,64,0,0.109375,0.890625
2006,2006_08_ARI_GB,GB,4,62,0.7741935483870968,0.22580645161290322,0
2006,2006_08_ATL_CIN,ATL,-3.5,67,0.2537313432835821,0.5970149253731343,0.14925373134328357
2006,2006_08_ATL_CIN,CIN,3.5,56,0.017857142857142856,0.7857142857142857,0.19642857142857142
2006,2006_08_BAL_NO,BAL,-1,61,0.7049180327868853,0.29508196721311475,0
2006,2006_08_BAL_NO,NO,1,61,0,0.14754098360655737,0.8524590163934426
2006,2006_08_DAL_CAR,CAR,4.5,51,0.21568627450980393,0.5294117647058824,0.2549019607843137
2006,2006_08_DAL_CAR,DAL,-4.5,76,0.17105263157894737,0.6973684210526315,0.13157894736842105
2006,2006_08_HOU_TEN,HOU,-3,76,0,0.4473684210526316,0.5526315789473685
2006,2006_08_HOU_TEN,TEN,3,43,0.46511627906976744,0.5348837209302325,0
2006,2006_08_IND_DEN,DEN,3,58,0.08620689655172414,0.9137931034482759,0
2006,2006_08_IND_DEN,IND,-3,59,0,0.9152542372881356,0.0847457627118644
2006,2006_08_JAX_PHI,JAX,-9,63,0.6666666666666666,0.3333333333333333,0
2006,2006_08_JAX_PHI,PHI,9,58,0,0.5517241379310345,0.4482758620689655
2006,2006_08_NE_MIN,MIN,-1,61,0,0.39344262295081966,0.6065573770491803
2006,2006_08_NE_MIN,NE,1,60,0.75,0.25,0
2006,2006_08_NYJ_CLE,CLE,1,61,0.7213114754098361,0.2786885245901639,0
2006,2006_08_NYJ_CLE,NYJ,-1,55,0,0.5818181818181818,0.41818181818181815
2006,2006_08_PIT_OAK,LV,9,49,0.4897959183673469,0.5102040816326531,0
2006,2006_08_PIT_OAK,PIT,9,68,0,0.6323529411764706,0.36764705882352944
2006,2006_08_SEA_KC,KC,4,77,0.44155844155844154,0.5584415584415584,0
2006,2006_08_SEA_KC,SEA,-4,49,0,0.6530612244897959,0.3469387755102041
2006,2006_08_SF_CHI,CHI,16,66,0.8484848484848485,0.15151515151515152,0
2006,2006_08_SF_CHI,SF,-16,45,0,0,1
2006,2006_08_STL_SD,LA,-9.5,64,0,0.28125,0.71875
2006,2006_08_STL_SD,LAC,-9.5,59,0.7457627118644068,0.2542372881355932,0
2006,2006_08_TB_NYG,NYG,9.5,67,0.7611940298507462,0.23880597014925373,0
2006,2006_08_TB_NYG,TB,-9.5,63,0,0.09523809523809523,0.9047619047619048
2006,2006_09_ATL_DET,ATL,5,60,0,0.38333333333333336,0.6166666666666667
2006,2006_09_ATL_DET,DET,-5,62,0.46774193548387094,0.532258064516129,0
2006,2006_09_CIN_BAL,BAL,3,65,0.9076923076923077,0.09230769230769231,0
2006,2006_09_CIN_BAL,CIN,-3,50,0,0,1
2006,2006_09_CLE_SD,CLE,-13,75,0,0.6933333333333334,0.30666666666666664
2006,2006_09_CLE_SD,LAC,-13,54,0.2777777777777778,0.7222222222222222,0
2006,2006_09_DAL_WAS,DAL,3,67,0.16417910447761194,0.835820895522388,0
2006,2006_09_DAL_WAS,WAS,-3,56,0.03571428571428571,0.9107142857142857,0.05357142857142857
2006,2006_09_DEN_PIT,DEN,-3,50,0.56,0.44,0
2006,2006_09_DEN_PIT,PIT,3,77,0,0.35064935064935066,0.6493506493506493
2006,2006_09_GB_BUF,BUF,3.5,46,0.3695652173913043,0.6304347826086957,0
2006,2006_09_GB_BUF,GB,-3.5,79,0,0.4430379746835443,0.5569620253164557
2006,2006_09_HOU_NYG,HOU,-13,57,0,0.8947368421052632,0.10526315789473684
2006,2006_09_HOU_NYG,NYG,13,56,0.5178571428571429,0.48214285714285715,0
2006,2006_09_IND_NE,IND,-3,61,0.3770491803278688,0.6229508196721312,0
2006,2006_09_IND_NE,NE,3,68,0,0.7794117647058824,0.22058823529411764
2006,2006_09_KC_STL,KC,-2.5,49,0.7551020408163265,0.24489795918367346,0
2006,2006_09_KC_STL,LA,-2.5,71,0,0.2535211267605634,0.7464788732394366
2006,2006_09_MIA_CHI,CHI,13,73,0,0.3150684931506849,0.684931506849315
2006,2006_09_MIA_CHI,MIA,-13,65,0.5076923076923077,0.49230769230769234,0
2006,2006_09_MIN_SF,MIN,4,67,0,0.8507462686567164,0.14925373134328357
2006,2006_09_MIN_SF,SF,-4,48,0.25,0.75,0
2006,2006_09_NO_TB,NO,-1,63,0.6825396825396826,0.31746031746031744,0
2006,2006_09_NO_TB,TB,1,52,0,0.25,0.75
2006,2006_09_OAK_SEA,LV,-7,56,0,0.05357142857142857,0.9464285714285714
2006,2006_09_OAK_SEA,SEA,7,72,0.9027777777777778,0.09722222222222222,0
2006,2006_09_TEN_JAX,JAX,9.5,54,0.8148148148148148,0.18518518518518517,0
2006,2006_09_TEN_JAX,TEN,-9.5,69,0,0.043478260869565216,0.9565217391304348
2006,2006_10_BAL_TEN,BAL,7,68,0,0.2647058823529412,0.7352941176470589
2006,2006_10_BAL_TEN,TEN,-7,65,0.5230769230769231,0.47692307692307695,0
2006,2006_10_BUF_IND,BUF,-12,48,0,0.9375,0.0625
2006,2006_10_BUF_IND,IND,12,66,0.3484848484848485,0.6515151515151515,0
2006,2006_10_CHI_NYG,CHI,-1,68,0.2647058823529412,0.6176470588235294,0.11764705882352941
2006,2006_10_CHI_NYG,NYG,1,56,0.19642857142857142,0.5892857142857143,0.21428571428571427
2006,2006_10_CLE_ATL,ATL,9,71,0,0.4507042253521127,0.5492957746478874
2006,2006_10_CLE_ATL,CLE,-9,54,0.5,0.5,0
2006,2006_10_DAL_ARI,ARI,-6.5,59,0,0.4406779661016949,0.559322033898305
