season,week,player_name,market,line,over_odds,under_odds,sportsbook,recorded_at
2026,1,Justin Herbert,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jauan Jennings,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Colby Parkinson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyler Johnson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Rico Dowdle,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Nick Westbrook-Ikhine,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Kyle Pitts,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Rashod Bateman,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Chuba Hubbard,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tommy Tremble,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Justin Fields,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Ja'Marr Chase,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Javonte Williams,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Amon-Ra St. Brown,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Nico Collins,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Davis Mills,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Travis Etienne,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Luke Farrell,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Trevor Lawrence,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Noah Gray,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Hunter Long,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jaylen Waddle,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Mac Jones,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Rhamondre Stevenson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Michael Carter,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Elijah Moore,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Kenneth Gainwell,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,DeVonta Smith,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
