season,week,player_name,position,team,opponent,market,proj,line_eval,p_over_line,line,over_odds,under_odds,sportsbook,model_p_over,market_p_over,edge,lean
2026,1,A.J. Brown,WR,PHI,WAS,receptions,5.651795188841117,5.5,0.4588951496058786,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,A.J. Brown,WR,PHI,WAS,anytime_td,0.4253974264263536,0.5,0.4253974264263536,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Alec Ingold,RB,MIA,LV,receptions,0.7497604311617307,0.5,0.47542990686661163,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Alec Ingold,RB,MIA,LV,anytime_td,0.02251239831917795,0.5,0.02251239831917795,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Ty Johnson,RB,BUF,HOU,receptions,1.4706371363240638,1.5,0.38173407207298354,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Ty Johnson,RB,BUF,HOU,anytime_td,0.15728831907407714,0.5,0.15728831907407714,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Daniel Jones,QB,IND,BAL,pass_yards,244.41401311543024,245.5,0.4799883339562692,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Daniel Jones,QB,IND,BAL,pass_tds,1.3771979268167955,1.5,0.38931303812209694,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Daniel Jones,QB,IND,BAL,anytime_td,0.16925651380485052,0.5,0.16925651380485052,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Foster Moreau,TE,NO,DET,receptions,1.3683107869316262,1.5,0.3583612450455651,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Foster Moreau,TE,NO,DET,anytime_td,0.0984337663827779,0.5,0.0984337663827779,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Jacobs,RB,GB,MIN,receptions,1.7915347490133282,1.5,0.4367099470128394,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Jacobs,RB,GB,MIN,anytime_td,0.461788201146494,0.5,0.461788201146494,NA,NA,NA,NA,NA,NA,NA,NA
