week,player,pos,exp_rec,actual,naive,line,p_over,over
5,Jordan Mason,RB,0.8931407979035575,3,0.9326088726955919,0.5,0.4684167764388911,1
5,Derrick Henry,RB,0.854639498491939,0,0.8713943189626266,0.5,0.4756052517356299,0
5,Omarion Hampton,RB,2.5906587140514734,6,2.8383283834243733,2.5,0.45032113491553777,1
5,Kenneth Walker III,RB,2.417721309653174,1,2.0335360787471277,2.5,0.3927066791328198,0
5,Travis Etienne,RB,1.9633610979152283,3,1.9908946594340657,1.5,0.5387754190740698,1
5,Emari Demercado,RB,1.0855390103168363,0,1.169476210816721,1.5,0.26845821139174714,0
5,Alvin Kamara,RB,3.827858388260086,4,3.3597059496520822,3.5,0.47369665331063054,1
5,Isiah Pacheco,RB,2.0013614222777663,3,1.7056433926046093,2.5,0.31508462801885295,1
5,Chase Brown,RB,3.1561776724682784,7,2.6287801151222623,3.5,0.3714088336439781,1
5,Kendre Miller,RB,0.6527811402372313,1,0.69357729077352,0.5,0.3911038512940934,1
5,Samaje Perine,RB,1.3155019017636576,2,1.157092724364397,1.5,0.340145987283046,1
5,Brashard Smith,RB,1.5044275016359325,3,1.4317102101338837,1.5,0.39923504973929924,1
5,James Cook,RB,2.5030793015656103,0,2.0221035844605946,2.5,0.41485667167528567,0
5,Isaiah Davis,RB,1.36317018108217,3,1.1506230330557397,1.5,0.33308779961378865,1
5,Jerome Ford,RB,2.3591609153770623,2,2.1881600406767827,2.5,0.38252786621933776,0
5,TreVeyon Henderson,RB,2.529440418546189,2,2.0937221960715635,2.5,0.448325745735944,0
5,RJ Harvey,RB,2.0635429337493925,3,1.9869634406909022,2.5,0.3335663777960739,1
5,Hunter Luepke,RB,0.7902307121988832,1,0.7808506735834119,0.5,0.4883023845285355,1
5,Devin Singletary,RB,0.6671538208168033,1,0.6030408733944903,0.5,0.36423466763165946,1
5,Tyler Badie,RB,1.4863483193973341,1,1.7204612217772421,1.5,0.3887804406032596,0
5,Kyle Juszczyk,RB,1.2437177932386487,3,1.2767223870825826,1.5,0.33308852428840857,1
5,Trevor Etienne,RB,1.3659355545434586,1,0.2243797207472575,1.5,0.25479631948498965,0
5,Bhayshul Tuten,RB,0.7287498641661996,1,0.6933995218302139,0.5,0.38206615322602194,1
5,AJ Dillon,RB,0.5033093726231338,0,0.5505752241498255,0.5,0.2988400927424059,0
5,Hassan Haskins,RB,0.5142848917340451,1,0.272179658670612,0.5,0.3045069788807042,1
5,Woody Marks,RB,1.650786729407765,0,1.510176526417171,1.5,0.3986887930410933,0
5,Kimani Vidal,RB,0.6276924325902605,1,0.5940649905093137,0.5,0.360615381403839,1
5,Jeremy McNichols,RB,0.7070405607087813,1,0.6236829795439921,0.5,0.3826403407637472,1
5,DJ Giddens,RB,0.8752696540656838,0,0.2243797207472575,0.5,0.36239829020928543,0
5,Raheem Mostert,RB,1.3572962395179589,0,1.1888687258628499,1.5,0.36693556622669493,0
5,Dameon Pierce,RB,0.4738122867981136,0,0.4547234804617129,0.5,0.3084042525630974,0
5,Keaton Mitchell,RB,0.9896094853875901,1,1.1170463165580857,0.5,0.5433118904854882,1
5,Justice Hill,RB,2.490066658717356,1,2.43500275498041,2.5,0.41761471867330674,0
5,Tyjae Spears,RB,2.2834559465223325,0,2.2042464907950152,2.5,0.3708171308682563,0
5,Sean Tucker,RB,0.6029672173258932,3,0.5914130540813101,0.5,0.36476775040477877,1
5,Blake Corum,RB,0.7190670014035908,0,0.7210001178912621,0.5,0.3806835739498892,0
5,Brian Robinson,RB,0.8323358776481007,0,0.8766542928911515,0.5,0.43853491557438645,0
5,Antonio Gibson,RB,0.7800330312909398,1,0.6982241972705507,0.5,0.4082216079408477,1
5,Ty Johnson,RB,0.9341814474521069,0,0.9723198015614095,0.5,0.4979965846463827,0
5,Will Shipley,RB,0.5911166531996181,1,0.19284601888885272,0.5,0.3015503423981022,1
5,Adam Prentice,RB,0.5210071438345674,0,0.5153922339324211,0.5,0.3565860004570485,0
5,Chris Rodriguez Jr.,RB,2.4743104815616146,0,0.03766136176943258,2.5,0.30650110387189755,0
5,Dylan Sampson,RB,1.6667440863199101,1,1.8017176963666879,1.5,0.37445844645900817,0
